# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
1	11873	12227	DDX11L1_exon_1	exon	transcribed_unprocessed_pseudogene	1	11869	12227
1	12227	12612	DDX11L1_intron_1	intron	transcribed_unprocessed_pseudogene	1	12227	12612
1	12612	12721	DDX11L1_exon_2	exon	transcribed_unprocessed_pseudogene	1	12612	12721
1	12721	12754	DDX11L1_intron_2	intron	transcribed_unprocessed_pseudogene	1	12721	12974
1	12858	12974	DDX11L1_intron_2	intron	transcribed_unprocessed_pseudogene	1	12721	12974
1	13188	13220	DDX11L1_intron_3	intron	transcribed_unprocessed_pseudogene	1	13052	13220
1	14050	14113	DDX11L1_exon_4	exon	transcribed_unprocessed_pseudogene	1	13220	14409
1	14336	14367	DDX11L1_exon_4	exon	transcribed_unprocessed_pseudogene	1	13220	14409
1	15040	15079	WASH7P_intron_2	intron	unprocessed_pseudogene	1	15038	15795
1	15283	15328	WASH7P_intron_2	intron	unprocessed_pseudogene	1	15038	15795
1	17888	17914	WASH7P_intron_7	intron	unprocessed_pseudogene	1	17742	17914
1	17914	18061	WASH7P_exon_8	exon	unprocessed_pseudogene	1	17914	18061
1	18061	18267	WASH7P_intron_8	intron	unprocessed_pseudogene	1	18061	18267
1	18267	18366	WASH7P_exon_9	exon	unprocessed_pseudogene	1	18267	18366
1	18366	18791	WASH7P_intron_9	intron	unprocessed_pseudogene	1	18366	24737
1	19334	19365	WASH7P_intron_9	intron	unprocessed_pseudogene	1	18366	24737
1	19631	19692	WASH7P_intron_9	intron	unprocessed_pseudogene	1	18366	24737
